! This file has been generated by DEMO version  602
HP_COMP1_EFFIC	0.604253	-.100000E+21	0.619708	-.841707	-	
HP_COMP1_PRATIO	1.50895	-.100000E+21	1.49826	-.314455	-	
HP_FLASH_DP	0.00000	0.00000	0.00000	0.00000	bar	
HP_COMP2_EFFIC	0.605914	-.100000E+21	0.587817	-.422692	-	
HP_COND_LATENT_DP	0.00000	0.00000	0.00000	0.00000	bar	
HP_EVAP_DP	0.00000	0.00000	0.00000	0.00000	bar	
COP_REAL	5.34274	-.100000E+21	5.29552	-.320225	-	
HP_COND_SENSIBLE_DP	0.00000	0.00000	0.00000	0.00000	bar	
EPFL_COND_SENSIBLE_DP1	0.00000	0.00000	0.00000	0.100000E+21	bar	
EPFL_COND_LATENT_DP1	0.00000	0.00000	0.00000	0.100000E+21	bar	
Q_COND_LOAD	2905.56	0.00000	2905.56	0.00000	-	
DELTAT_MIN_VAR1	2.94138	0.00000	2.94138	0.00000	-	
MAX_MASSF_HP2	10.7893	0.500000	10.8751	0.169837	-	
MAX_MASSF_HP6	12.9983	0.500000	14.2777	0.116527	-	
HP2_T	5.02546	0.800000	5.27843	0.312672	C	
HP2_MASSF	6.36442	-.250000	6.45574	-.959021E-01	kg/s	
W_HP_COMP1_POWER	235.753	-.500000	238.163	-.473647	kW	
W_HP_COMP2_POWER	305.274	-.500000	310.520	-.434487	kW	
HP5_T	43.4533	0.800000	43.1684	0.237946	C	
HP6_T	34.0678	0.800000	33.0421	0.251037	C	
HP6_MASSF	7.75153	-.250000	7.67215	-.917591E-01	kg/s	
HP5BIS_T	32.7732	0.800000	33.0421	0.250983	C	
Q_COND_LATENT_LOAD	2688.73	-.500000	2783.56	-.212731E-01	kW	
HP1_T	2.05320	0.800000	2.27843	0.312939	C	
Q_EVAP_LOAD	2257.89	-.500000	2356.88	-.749299E-01	kW	
Q_COND_SENSIBLE_LOAD	122.345	-.500000	122.001	-.485367	kW	
EPFL_OUTBIS_T	30.0795	0.800000	30.1008	0.251037	C	
EPFL_OUTBIS_P	5.23623	-.100000	5.23623	-.100000	bar	
EPFL_IN_T	29.8849	0.800000	30.1839	0.251017	C	
EPFL_IN_P	4.94847	-.100000	4.94847	-.100000	bar	
EPFL_OUT_T	30.1134	0.800000	28.3529	0.250902	C	
EPFL_OUT_P	4.93827	-.100000	4.93827	-.100000	bar	
EPFL_OUT_MASSF	377.198	-.250000	377.210	-.249989	kg/s	
HP2_SMOL	1.00000	0.100000E+21	-19.3611	0.809786E-02	kJ/kmol/C	
HP4_SMOL	1.00000	0.100000E+21	-20.2213	0.813780E-03	kJ/kmol/C	
