! This file has been generated by DEMO version  602
HP_COMP1_EFFIC	0.435702	-.100000E+21	0.444252	-.827485	-	
HP_COMP1_PRATIO	1.99614	-.100000E+21	2.01603	-.539493	-	
HP_FLASH_DP	0.00000	0.00000	0.00000	0.00000	bar	
HP_COMP2_EFFIC	0.446141	-.100000E+21	0.437956	-.861874	-	
HP_COND_LATENT_DP	0.00000	0.00000	0.00000	0.00000	bar	
HP_EVAP_DP	0.00000	0.00000	0.00000	0.00000	bar	
COP_REAL	3.06683	-.100000E+21	3.12849	-.222776	-	
HP_COND_SENSIBLE_DP	0.00000	0.00000	0.00000	0.00000	bar	
EPFL_COND_SENSIBLE_DP1	0.00000	0.00000	0.00000	0.100000E+21	bar	
EPFL_COND_LATENT_DP1	0.00000	0.00000	0.00000	0.100000E+21	bar	
Q_COND_LOAD	6112.97	0.00000	6112.97	0.00000	-	
DELTAT_MIN_VAR1	2.98361	0.00000	2.98361	0.00000	-	
MAX_MASSF_HP2	12.9934	0.500000	12.2722	0.277011	-	
MAX_MASSF_HP6	15.1300	0.500000	15.8507	0.382402	-	
HP2_T	4.78460	0.800000	4.22423	0.340962	C	
HP2_MASSF	3.46222	-.250000	3.48551	-.118117	kg/s	
W_HP_COMP1_POWER	796.792	-.500000	809.644	-.435560	kW	
W_HP_COMP2_POWER	1113.12	-.500000	1144.32	-.258095	kW	
HP5_T	155.224	0.800000	157.953	0.416450	C	
HP5BIS_T	50.3307	0.800000	46.0646	0.291956	C	
HP6_T	48.3029	0.800000	46.0646	0.291972	C	
HP6_MASSF	4.19880	-.250000	4.32576	-.894014E-01	kg/s	
Q_COND_LATENT_LOAD	4696.77	-.500000	5032.89	-.593562E-01	kW	
HP1_T	1.91898	0.800000	1.22423	0.341160	C	
Q_EVAP_LOAD	3994.27	-.500000	4159.00	-.105170	kW	
Q_COND_SENSIBLE_LOAD	1061.75	-.500000	1080.07	-.276586	kW	
EPFL_OUTBIS_T	44.0922	0.800000	43.0809	0.291972	C	
EPFL_OUTBIS_P	5.19196	-.100000	5.19197	-.100000	bar	
EPFL_IN_T	46.6550	0.800000	44.7960	0.292565	C	
EPFL_IN_P	5.16760	-.100000	5.16760	-.100000	bar	
EPFL_OUT_T	35.7091	0.800000	35.1169	0.291765	C	
EPFL_OUT_P	4.81958	-.100000	4.81958	-.100000	bar	
EPFL_OUT_MASSF	150.703	-.250000	150.705	-.249922	kg/s	
HP2_SMOL	1.00000	0.100000E+21	-14.9502	0.615776E-01	kJ/kmol/C	
HP4BIS_SMOL	1.00000	0.100000E+21	-16.5814	0.516144E-01	kJ/kmol/C	
